age,gender,visa_type,documents_submitted,visa_granted,rejection_reason
25,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency",No,Failed health requirements
29,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
18,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary",No,Insufficient funds
32,Other,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Inconsistent information
28,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Incorrect application form
23,Female,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Employer not verified
25,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
40,Female,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Unclear travel purpose
46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
47,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Employer not verified
24,Female,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Suspicious travel history
28,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
44,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
32,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
25,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,IELTS requirement not met
34,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
24,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Academic documents incomplete
47,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
46,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
22,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
40,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
32,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Incorrect application form
57,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
57,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
46,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Failed health requirements
34,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
44,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
41,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
22,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Failed health requirements
50,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
47,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
58,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Invalid or expired passport
33,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,No strong home-country ties
34,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
45,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,IELTS requirement not met
23,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
51,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Academic documents incomplete
55,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Insufficient funds
45,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
31,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
50,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
25,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
45,Female,Student Visa,"Passport, Bank Statement, Medical Certificate, Birth Certificate",No,Suspicious travel history
39,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
40,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
21,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
35,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
20,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
53,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
56,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
21,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
55,Female,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Failed health requirements
52,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
22,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
55,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Employer not verified
37,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
44,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate",No,Unclear travel purpose
21,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
47,Other,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Invalid or expired passport
49,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate",No,Missing documents
24,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
56,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
19,Female,Visit Visa,"Bank Statement, Travel Insurance, Invitation Letter",No,Academic documents incomplete
43,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
58,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Invalid or expired passport
53,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Academic documents incomplete
27,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance",No,IELTS requirement not met
42,Other,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,IELTS requirement not met
34,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate",No,Employer not verified
27,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
51,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
41,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
49,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Unclear travel purpose
33,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Inconsistent information
58,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Invalid or expired passport
31,Male,Work Visa,"Passport, Job Offer Letter, Police Clearance, Work Experience Letters",No,Employer not verified
18,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
42,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
58,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
27,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
51,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
55,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Failed health requirements
34,Male,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,Invalid or expired passport
18,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,IELTS requirement not met
59,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
18,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
38,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance",No,Academic documents incomplete
51,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Invalid or expired passport
37,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
57,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Missing documents
19,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
38,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
51,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
19,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
36,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Failed health requirements
19,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
44,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Incorrect application form
29,Other,Work Visa,"Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
28,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
25,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
57,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
23,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary",No,Unclear travel purpose
35,Other,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Unclear travel purpose
47,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
47,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
31,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
21,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,IELTS requirement not met
26,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
51,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
33,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
29,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Failed health requirements
38,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
48,Male,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
50,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
29,Other,Work Visa,"Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Missing documents
39,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
48,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
34,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
27,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,Failed health requirements
54,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,IELTS requirement not met
22,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Inconsistent information
31,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Incorrect application form
32,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Unclear travel purpose
40,Female,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Academic documents incomplete
55,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
38,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
18,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
23,Female,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Employer not verified
40,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
58,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
43,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
31,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,No strong home-country ties
46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
45,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Employer not verified
23,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
18,Female,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Inconsistent information
40,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Work Experience Letters",No,Suspicious travel history
44,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance",No,Inconsistent information
38,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
31,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
44,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
43,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
26,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
25,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
27,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Missing documents
50,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
28,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
44,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Suspicious travel history
26,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
58,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
34,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
29,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Suspicious travel history
49,Male,Student Visa,"Passport, Offer Letter, English Proficiency, Birth Certificate",No,Incorrect application form
27,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
57,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
25,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Invalid or expired passport
46,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
56,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
44,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Suspicious travel history
24,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
56,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
31,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
24,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Suspicious travel history
40,Female,Visit Visa,"Passport, Bank Statement, Itinerary",No,Insufficient funds
41,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance",No,Insufficient funds
40,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
38,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
37,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
23,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Suspicious travel history
42,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
24,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
46,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
28,Male,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
59,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Academic documents incomplete
50,Male,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Missing documents
50,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
53,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
37,Male,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Insufficient funds
38,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
33,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Suspicious travel history
27,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Missing documents
55,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
19,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
31,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Failed health requirements
23,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Failed health requirements
58,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
33,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
41,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
27,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Suspicious travel history
30,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
22,Female,Visit Visa,"Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
34,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Failed health requirements
52,Male,Work Visa,"Passport, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
25,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
43,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
53,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
50,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
52,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Failed health requirements
40,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
32,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
39,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
19,Other,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Incorrect application form
19,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,No strong home-country ties
19,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
59,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Failed health requirements
39,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Invalid or expired passport
29,Female,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Missing documents
30,Male,Work Visa,"Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Suspicious travel history
55,Male,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
29,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
45,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
46,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
29,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
21,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
29,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
38,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
31,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
30,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,No strong home-country ties
46,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
42,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
38,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,Incorrect application form
50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Suspicious travel history
37,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,IELTS requirement not met
29,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Invalid or expired passport
40,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
28,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
26,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Incorrect application form
28,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
31,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
44,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Unclear travel purpose
25,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Employer not verified
23,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Invalid or expired passport
46,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Employer not verified
37,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Unclear travel purpose
32,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
26,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,IELTS requirement not met
31,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
38,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
59,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
48,Male,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Academic documents incomplete
47,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
50,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
39,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
34,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Employer not verified
44,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Missing documents
25,Female,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,Employer not verified
48,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
44,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,Insufficient funds
28,Female,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
